material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-8033,PuF3_mp-8033.cif,PuF3,8,2.3576238487382373,0.9157576560974121,57.24331926863573,False
mp-571122,FeI2_mp-571122.cif,FeI2,3,2.826984324152292,0.9155604839324951,56.82137834036568,False
mp-14107,NpF3_mp-14107.cif,NpF3,8,2.3929852120953488,0.9154218435287476,56.68073136427567,False
mp-680266,Sm5Br11_mp-680266.cif,Sm5Br11,64,2.9659860394992035,0.915408730506897,56.540084388185655,False
mp-23210,MgCl2_mp-23210.cif,MgCl2,9,2.5071380376911963,0.9153829216957092,56.399437412095644,False
mp-8354,LaF3_mp-8354.cif,LaF3,8,2.4067275190764894,0.9153324365615845,56.258790436005626,False
mp-570534,Nd4Br9_mp-570534.cif,Nd4Br9,52,2.9986436834710415,0.9152497053146362,55.9774964838256,False
mp-569843,MnBr2_mp-569843.cif,MnBr2,3,2.6957558350871635,0.9148738384246826,55.55555555555556,False
mp-8644,BaF2_mp-8644.cif,BaF2,6,2.5723207940419908,0.9148349761962891,55.41490857946554,False
mp-971787,VBr2_mp-971787.cif,VBr2,3,2.6498762349487333,0.9144210815429688,55.13361462728551,False
mp-556585,MnF2_mp-556585.cif,MnF2,12,2.08043931584152,0.9143654704093933,54.9929676511955,False
mp-28233,MnCl2_mp-28233.cif,MnCl2,3,2.542131331698746,0.9142864942550659,54.71167369901547,False
mp-7709,ZnF2_mp-7709.cif,ZnF2,12,1.9929629945360476,0.9139156341552734,54.14908579465541,False
mp-23291,PbCl2_mp-23291.cif,PbCl2,12,2.8296780469423566,0.9138861894607544,54.008438818565395,False
mp-28013,MnI2_mp-28013.cif,MnI2,3,2.9179959781027,0.9138731956481934,53.867791842475384,False
mp-287,UF4_mp-287.cif,UF4,30,2.236519002356628,0.9138107299804688,53.44585091420534,False
mp-22849,BiI3_mp-22849.cif,BiI3,8,3.0941788608750502,0.9137210845947266,53.16455696202531,False
mp-1058,PdF2_mp-1058.cif,PdF2,6,2.1637516693130796,0.913598895072937,53.023909985935305,False
mp-19908,EuF3_mp-19908.cif,EuF3,16,2.298718124105651,0.9133603572845459,52.742616033755276,False
mp-555934,VF2_mp-555934.cif,VF2,6,2.069473631003967,0.9132766127586365,52.601969057665265,False
mp-504787,NpF4_mp-504787.cif,NpF4,30,2.242511399210735,0.9131321907043457,52.320675105485236,False
mp-556242,YF3_mp-556242.cif,YF3,12,2.3562349397911566,0.9129411578178406,52.03938115330521,False
mp-27194,SnI2_mp-27194.cif,SnI2,9,3.163202970333864,0.9128916263580322,51.89873417721519,False
mp-28572,LaBr2_mp-28572.cif,LaBr2,6,3.064418997737521,0.9128485321998596,51.61744022503516,False
mp-703595,Cd13I28_mp-703595.cif,Cd13I28,41,3.0413165565085785,0.9127756953239441,51.47679324894515,False
mp-27697,ThI4_mp-27697.cif,ThI4,20,3.1536145330567305,0.9127464890480042,51.33614627285513,False
mp-28044,TmCl3_mp-28044.cif,TmCl3,8,2.6021810419600664,0.9125857949256897,51.19549929676512,False
mp-30025,DyBr2_mp-30025.cif,DyBr2,24,2.8952556059432846,0.9124414324760437,50.07032348804501,False
mp-23205,MgI2_mp-23205.cif,MgI2,3,2.938442069897257,0.9124264717102051,49.929676511954995,False
mp-30034,MgBr2_mp-30034.cif,MgBr2,3,2.6821899065589916,0.9123660922050476,49.36708860759494,False
mp-31034,ThF4_mp-31034.cif,ThF4,30,2.3155341803402507,0.912299633026123,48.66385372714487,False
mp-542001,CeF4_mp-542001.cif,CeF4,30,2.240701531892019,0.9122810363769531,48.38255977496484,False
mp-559798,NiF2_mp-559798.cif,NiF2,6,1.9896828754744798,0.9122311472892761,47.53867791842475,False
mp-31033,HfF4_mp-31033.cif,HfF4,30,2.0536941154537245,0.9121120572090149,46.554149085794656,False
mp-1249,MgF2_mp-1249.cif,MgF2,6,1.9771214764519396,0.9120869636535645,46.27285513361463,False
mp-28448,DyCl3_mp-28448.cif,DyCl3,8,2.7098929861030747,0.9119859933853149,45.14767932489451,False
mp-23255,UBr3_mp-23255.cif,UBr3,8,3.062137988062604,0.9118186831474304,44.163150492264414,False
mp-27785,TiBr2_mp-27785.cif,TiBr2,3,2.701493290371239,0.9118038415908813,43.88185654008439,False
mp-23265,GdCl3_mp-23265.cif,GdCl3,8,2.8164129687153086,0.9116427898406982,42.47538677918425,False
